,AAPL,CAT,CVX,DUK,GS,HD,INTC,JNJ,JPM,KO,MCD,MMM,MSFT,NEM,PFE,PG,UNH,VZ,WFC,XOM
2015-01-07,0.2,0.010000000000001346,0.01,0.2,0.01,0.19999999999999912,0.01,0.010000000000000545,0.01,0.010000000000000864,0.010000000000000439,0.01,0.010000000000000208,0.010000000000000253,0.01,0.010000000000000944,0.2,0.049999999999997255,0.01,0.010000000000000068
2015-02-06,0.19999999999999654,0.010000000000005864,0.01000000000000256,0.19999999999998688,0.010000000000005123,0.19999999999999254,0.01,0.01,0.010000000000005903,0.01,0.01,0.010000000000001102,0.010000000000001742,0.010000000000003442,0.01,0.01,0.1544285532143748,0.09557144678562177,0.010000000000004571,0.010000000000002259
2015-03-10,0.2,0.01,0.01,0.08587636553416941,0.01,0.1999999999999991,0.01,0.01000000000000017,0.01,0.010000000000000508,0.010000000000000824,0.01,0.010000000000000148,0.01,0.01,0.01000000000000096,0.2,0.16412363446583156,0.01,0.010000000000000123
2015-04-09,0.19999999999999937,0.010000000000004033,0.010000000000001045,0.12266791171494772,0.010000000000001164,0.19999999999999704,0.010000000000000352,0.01000000000000002,0.010000000000001858,0.01,0.01,0.010000000000000127,0.010000000000001083,0.01000000000000259,0.032555190056663096,0.01,0.19999999999999826,0.1047768982283819,0.010000000000002075,0.010000000000001029
2015-05-08,0.18377242366916946,0.01000000000000172,0.01,0.06622757633082946,0.01000000000000171,0.19999999999999774,0.01000000000000019,0.01,0.010000000000001761,0.01,0.01,0.01,0.010000000000000548,0.010000000000001622,0.010000000000000876,0.01,0.19999999999999923,0.19999999999999865,0.010000000000001329,0.010000000000000005
2015-06-09,0.16452149230760324,0.01000000000000087,0.01,0.023131828234042424,0.01,0.2,0.010000000000000136,0.01,0.01,0.01000000000000003,0.010000000000000514,0.010000000000000234,0.010000000000000021,0.01,0.11521184079037412,0.010000000000000321,0.19999999999999965,0.15713483866798025,0.010000000000000151,0.01
2015-07-09,0.15879272327532748,0.010000000000002484,0.010000000000001017,0.054653790226858165,0.010000000000000748,0.19999999999999862,0.010000000000000888,0.01,0.010000000000002193,0.01,0.01,0.01,0.01,0.010000000000002278,0.1464458176305484,0.01,0.19999999999999946,0.10010766886726025,0.010000000000000942,0.010000000000001107
2015-08-07,0.16382878759973268,0.010000000000000281,0.010000000000001298,0.06370385859242671,0.01,0.19999999999999923,0.010000000000000467,0.010000000000000342,0.01,0.010000000000000498,0.010000000000000004,0.010000000000000194,0.01000000000000048,0.01,0.18028754796279753,0.01,0.1999999999999998,0.052179805845043024,0.010000000000000163,0.01
2015-09-08,0.1999999999999991,0.01,0.010000000000000469,0.037993458236768994,0.01,0.2,0.010000000000000694,0.010000000000000567,0.01,0.010000000000000842,0.010000000000000824,0.01,0.01000000000000038,0.01,0.1523322556467977,0.010000000000000541,0.1999999999999999,0.0696742861164358,0.01,0.01
2015-10-07,0.17763934551797667,0.010000000000002493,0.01,0.1099958020453902,0.01000000000000062,0.19999999999999865,0.01,0.01,0.010000000000001017,0.010000000000000004,0.01,0.010000000000000337,0.01000000000000128,0.010000000000001617,0.16236485243662946,0.01,0.19999999999999982,0.01,0.010000000000000444,0.01
