,AAPL,CAT,CVX,DUK,GS,HD,INTC,JNJ,JPM,KO,MCD,MMM,MSFT,NEM,PFE,PG,UNH,VZ,WFC,XOM
2015-01-07,0.2,0.01,0.01,0.2,0.01,0.044459145911438125,0.2,0.01,0.01,0.01,0.01,0.01,0.01,0.015540854088028633,0.01,0.2,0.01,0.01,0.01,0.01
2015-02-06,0.04999999949556826,0.01,0.01,0.2,0.01,0.01,0.01,0.2,0.01,0.2,0.01,0.2,0.01,0.01,0.01,0.01,0.01000000012709671,0.01,0.01,0.01
2015-03-10,0.19999999999996124,0.010000000000087482,0.010000000000069549,0.1999999999997086,0.01000000000002578,0.19999999999996804,0.010000000000010523,0.01,0.010000000000283697,0.01,0.01,0.010000000000007418,0.04999999999995724,0.01,0.01,0.01,0.19999999999996335,0.01,0.010000000000046569,0.01000000000002521
2015-04-09,0.2,0.01,0.01,0.2,0.08798741967991247,0.2,0.01,0.010000000000049102,0.01,0.010000000000040851,0.010000000000043452,0.037476470120042696,0.01,0.01,0.01,0.010000000000063132,0.1345361101991687,0.01,0.01,0.01
2015-05-08,0.2,0.01,0.01,0.01000000000000277,0.12524348340377883,0.2,0.01,0.010000000000000656,0.01,0.010000000000001815,0.010000000000002406,0.01,0.01,0.12475651659622848,0.010000000000000316,0.010000000000004335,0.2,0.01000000000000422,0.01,0.01
2015-06-09,0.16784439417130093,0.010000000000182564,0.010000000000120888,0.01,0.010000000000034101,0.19999999999987317,0.010000000000058119,0.01000000000000512,0.010000000000097884,0.01,0.1565143113773397,0.010000000000074075,0.01,0.1256412944511885,0.01,0.01,0.19999999999984513,0.01,0.010000000000065689,0.010000000000055806
2015-07-09,0.0322452264453193,0.01,0.01,0.2,0.01,0.1955142392542191,0.2,0.01,0.01,0.010000000000030207,0.010000000000032703,0.0322405342669957,0.01,0.010000000000019584,0.01,0.01000000000004293,0.2,0.010000000000011035,0.01,0.01
2015-08-07,0.06519343074651596,0.01,0.01,0.010000000000019231,0.01,0.2,0.01,0.010000000000005694,0.01,0.010000000000011706,0.010000000000015618,0.010000000000000588,0.01,0.2,0.18480656925351105,0.010000000000013455,0.2,0.010000000000010207,0.01,0.01
2015-09-08,0.010000000000000925,0.010000000000012976,0.010000000000009899,0.01,0.05000000000013256,0.010000000000001421,0.010000000000004313,0.01000000000000021,0.19999999999999735,0.19999999999997845,0.1999999999998518,0.010000000000005449,0.010000000000004235,0.010000000000007487,0.01,0.010000000000000852,0.19999999999998533,0.01,0.010000000000011666,0.010000000000009864
2015-10-07,0.2,0.01,0.01,0.013578523130645365,0.01,0.2,0.01,0.010000000000013342,0.2,0.03940977794774487,0.08260554904147603,0.01,0.12295390415806909,0.021452245722197325,0.010000000000007532,0.010000000000007444,0.01,0.01000000000001271,0.01,0.01
2015-11-05,0.11797903877198725,0.01,0.01,0.010000000000069887,0.01,0.2,0.01,0.010000000000022782,0.2,0.010000000000022524,0.1903647614684425,0.01,0.01,0.010000000000054477,0.01,0.010000000000018409,0.14165619975987978,0.010000000000022763,0.01,0.01
2015-12-07,0.01,0.01,0.01,0.010000000000007003,0.01,0.2,0.1398919597671083,0.010000000000012776,0.01,0.010000000000034988,0.2,0.01,0.2,0.11010804023282961,0.01000000000004009,0.010000000000024661,0.010000000000010178,0.01000000000002619,0.01,0.01
2016-01-07,0.010000000000000002,0.010000000000016489,0.010000000000007642,0.010000000000014088,0.010000000000001383,0.19999999999999502,0.01000000000001118,0.010000000000000002,0.010000000000001757,0.010000000000000002,0.04999999999999335,0.010000000000000002,0.1999999999999939,0.19999999999998602,0.010000000000000002,0.010000000000002188,0.19999999999998563,0.010000000000005518,0.010000000000000002,0.010000000000003624
2016-02-08,0.01,0.01,0.01,0.01,0.010000000000000002,0.01,0.01,0.04999999999988257,0.01,0.01,0.2,0.01,0.2,0.2,0.01,0.01,0.01,0.2,0.01,0.01
2016-03-09,0.010000000000000833,0.010000000000004875,0.010000000000020253,0.14644093205798325,0.010000000000006235,0.01000000000000657,0.18785125746682543,0.01,0.010000000000001568,0.01,0.01,0.010000000000000994,0.12472625415617983,0.2,0.01,0.19098155631898273,0.01,0.01,0.010000000000001874,0.01
2016-04-08,0.01000000000008431,0.010000000000228115,0.010000000001106133,0.01,0.010000000000306718,0.01000000000007059,0.01000000000012396,0.01,0.19999999999979698,0.01,0.19999999999810583,0.010000000000111225,0.010000000000096878,0.01000000000000814,0.05000000000044655,0.19999999999954116,0.010000000000136944,0.01,0.01000000000025565,0.19999999999968185
2016-05-09,0.01,0.01,0.010000000000000002,0.010000000000011383,0.01,0.01,0.2,0.010000000000006741,0.01,0.010000000000001796,0.2,0.2,0.01,0.2,0.01,0.05000000000000821,0.01,0.010000000000006004,0.01,0.01
2016-06-08,0.010000000077310587,0.010000000084257133,0.010000000080431073,0.010000000065468934,0.010000000087980026,0.010000000075799464,0.010000000078238508,0.19999999970568494,0.010000000089761714,0.19999999970318316,0.010000000068560983,0.1829808208925958,0.010000000078969357,0.01000000007099579,0.010000000074508486,0.01000000006881208,0.19999999971803245,0.06701917881320925,0.01000000008842729,0.010000000077772938
2016-07-08,0.010000000000030512,0.010000000000000002,0.010000000000013859,0.049999999999972504,0.01000000000008923,0.010000000000015288,0.1999999999999139,0.19999999999996648,0.010000000000015982,0.010000000000008336,0.19999999999996843,0.010000000000033524,0.010000000000003423,0.19999999999983825,0.010000000000000002,0.010000000000027515,0.010000000000000002,0.010000000000000002,0.010000000000122106,0.010000000000018522
2016-08-08,0.01,0.010000000000000595,0.18314120815650034,0.031095722334833927,0.01,0.01,0.07411168743188574,0.2,0.01,0.010000000000000338,0.14848227096695324,0.010000000000000514,0.01,0.2,0.010000000000000087,0.033169111109830174,0.010000000000000927,0.01,0.01,0.01
