,AAPL,CAT,CVX,DUK,GS,HD,INTC,JNJ,JPM,KO,MCD,MMM,MSFT,NEM,PFE,PG,UNH,VZ,WFC,XOM
2015-01-07,0.18901130189566517,0.010000000000002764,0.01000000000000136,0.1661320533418307,0.010000000000003336,0.19999999999999651,0.010000000000002042,0.01,0.010000000000004353,0.010000000000000016,0.01,0.010000000000000184,0.010000000000001546,0.01,0.01000000000000031,0.01,0.19999999999999868,0.01,0.09485664476249814,0.010000000000000713
2015-02-06,0.19999999999909074,0.010000000000435851,0.010000000000326368,0.19999999999893728,0.010000000000353611,0.1999999999989991,0.010000000000324775,0.010000000000172163,0.01000000000041089,0.199999999998869,0.010000000000173963,0.010000000000287858,0.010000000000307862,0.010000000000169498,0.010000000000221073,0.010000000000165727,0.010000000000271373,0.049999999999792655,0.010000000000396157,0.010000000000294171
2015-03-10,0.19748159621505054,0.01,0.01,0.035049602887806966,0.01,0.2,0.01,0.01000000000000241,0.01,0.2,0.01000000000000238,0.01,0.01,0.010000000000000916,0.010000000000000014,0.01,0.15112991247407562,0.07633888842312267,0.01,0.01
2015-04-09,0.18095271684730196,0.01,0.01,0.07104749529244342,0.01,0.2,0.01,0.010000000000000906,0.01,0.2,0.010000000000000571,0.01,0.01,0.010000000000000096,0.01,0.010000000000001076,0.14813529339582304,0.059864494464469245,0.01,0.01
2015-05-08,0.19999999999999743,0.010000000000003575,0.0100000000000023,0.04418456226638458,0.01000000000000122,0.19999999999999718,0.01000000000000138,0.01,0.010000000000002379,0.01,0.01,0.01581543773361567,0.010000000000001143,0.010000000000000047,0.01,0.01,0.19999999999999787,0.19999999999999463,0.010000000000001811,0.010000000000001823
2015-06-09,0.147133983029404,0.01,0.01,0.0346356575350393,0.01,0.2,0.01,0.01,0.010000000000001149,0.01000000000000072,0.01,0.01,0.01,0.010000000000000835,0.11905218449849887,0.010000000000000472,0.2,0.1591781749370602,0.01,0.01
2015-07-09,0.0937731206266518,0.01,0.01,0.09166106618677114,0.01,0.2,0.010000000000000191,0.010000000000001036,0.01,0.010000000000000875,0.01,0.06390349940088631,0.03267009943009823,0.01000000000000004,0.05249302613211864,0.2,0.1454991882234733,0.01,0.01,0.01
2015-08-07,0.16142746292109483,0.01000000000000531,0.010000000000004205,0.03485320527168838,0.010000000000001197,0.19999999999999693,0.010000000000001423,0.06371933180720812,0.01000000000000455,0.01,0.01,0.01000000000000043,0.010000000000000616,0.010000000000001102,0.19999999999999674,0.01,0.19999999999999754,0.01,0.010000000000005308,0.010000000000000266
2015-09-08,0.12382861081457908,0.01000000000000157,0.010000000000000632,0.010000000000000031,0.01000000000000039,0.2,0.01,0.01,0.01,0.19999999999999807,0.010000000000001162,0.01,0.01,0.01,0.010000000000000075,0.01,0.1923096558402656,0.010000000000000456,0.13386173328786186,0.010000000000000448
2015-10-07,0.10868630525122518,0.010000000000001551,0.010000000000003482,0.01,0.01,0.2,0.01,0.01,0.01,0.010000000000000004,0.01,0.01,0.01,0.010000000000000219,0.14131369474877195,0.010000000000000172,0.2,0.2,0.01,0.01
2015-11-05,0.17875033916565075,0.01,0.01,0.010000000000000864,0.01,0.2,0.01,0.01,0.01,0.010000000000000668,0.010000000000001412,0.01,0.01,0.010000000000000647,0.13220927614324673,0.01000000000000012,0.2,0.13904038469110735,0.01,0.01
2015-12-07,0.15286701821407905,0.010000000000000986,0.010000000000000505,0.01,0.010000000000000477,0.2,0.010000000000000557,0.01,0.010000000000000285,0.01,0.010000000000000333,0.01,0.01,0.01,0.19999999999999993,0.01,0.1796836827137993,0.11744929907211951,0.01,0.010000000000000134
2016-01-07,0.01,0.01,0.01,0.021340826365881395,0.01,0.2,0.01,0.010000000000001064,0.01,0.010000000000002692,0.011936813747614714,0.01,0.1151684018781992,0.010000000000003064,0.2,0.010000000000000245,0.2,0.010000000000002028,0.12155395800831692,0.01
2016-02-08,0.010000000000103475,0.010000000000160604,0.010000000000137059,0.04999999999959833,0.01000000000018056,0.1999999999996213,0.010000000000119517,0.010000000000374364,0.010000000000197117,0.010000000000062487,0.19999999999953383,0.010000000000107832,0.010000000000125788,0.010000000000009175,0.19999999999958823,0.010000000000051561,0.19999999999964604,0.010000000000073827,0.010000000000174931,0.010000000000133928
2016-03-09,0.01,0.01,0.01,0.08394351981984952,0.01,0.2,0.01,0.16605648018019648,0.01,0.01,0.010000000000001386,0.01,0.01,0.010000000000004741,0.2,0.01,0.2,0.010000000000002963,0.01,0.01
2016-04-08,0.05538974398831695,0.01,0.01,0.18023714882311037,0.01,0.2,0.01,0.2,0.01,0.010000000000000824,0.010000000000000136,0.01,0.2,0.010000000000000495,0.01,0.01,0.024373107188574883,0.010000000000000755,0.01,0.01
2016-05-09,0.010000000000000632,0.01,0.01,0.2,0.01,0.2,0.01,0.2,0.01,0.010000000000000009,0.010000000000000578,0.01,0.07772924892042674,0.01,0.0802802824495338,0.01,0.09508799587379034,0.01,0.01690247275624203,0.01
